Company,TypeName,Inches,Ram,OpSys,Weight_Kg,Price,SSD,HDD,Hybrid,Flash_Storage,Resolution,Touchscreen,Cpu_Brand,Cpu_Proc,Cpu_GHz,Gpu_Type
Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,43636.32,256,0,0,0,1920x1080,True,Intel,Core i5,1.6,Intel UHD
HP,Ultrabook,15.6,8,Windows 10,1.91,35111.52,256,0,0,0,1920x1080,False,Intel,Core i7,1.8,Intel HD
Dell,Notebook,15.6,4,Windows 10,2.3,22305.1392,0,1000,0,0,1366x768,False,Intel,Core i3,2.0,Intel HD
Apple,Ultrabook,13.3,8,Mac OS X,1.35,58554.72,0,0,0,128,1440x900,False,Intel,Core i5,1.6,Intel HD
Dell,Notebook,15.6,8,Windows 10,2.2,42624.0,256,0,0,0,1920x1080,False,Intel,Core i5,1.6,AMD Radeon
Dell,Ultrabook,15.6,8,Windows 10,1.88,69157.44,512,0,0,0,1920x1080,False,Intel,Core i7,1.9,Intel UHD
HP,Notebook,17.3,8,Windows 10,2.5,47738.88,0,1000,0,0,1920x1080,False,Intel,Core i5,1.6,Nvidia GeForce
Chuwi,Notebook,15.6,4,Windows 10,1.89,13053.0672,0,0,0,64,1920x1080,False,Intel,Atom,1.44,Intel HD
Asus,Notebook,14.0,2,Windows 10,1.65,10602.72,0,0,0,32,1366x768,False,AMD,E-Series,1.5,AMD Radeon
HP,Notebook,17.3,4,Windows 10,2.71,23389.92,0,500,0,0,1920x1080,False,AMD,A-Series,2.5,AMD Radeon
Dell,Ultrabook,13.3,16,Windows 10,1.2,99580.32,512,0,0,0,3200x1800,True,Intel,Core i7,1.8,Intel UHD
Apple,Ultrabook,13.3,8,Mac OS X,1.35,53173.44,0,0,0,256,1440x900,False,Intel,Core i5,1.6,Intel HD
Lenovo,Notebook,14.0,4,Windows 10,1.44,13266.72,0,0,0,64,1366x768,False,Intel,Celeron Dual Core,1.1,Intel HD
Acer,Notebook,15.6,4,Linux,2.1,19553.76,0,1000,0,0,1366x768,False,Intel,Core i3,2.7,Intel HD
Dell,Notebook,17.3,8,Windows 10,2.8,52161.12,128,1000,0,0,1920x1080,False,Intel,Core i5,1.6,AMD Radeon
HP,Notebook,15.6,4,Windows 10,1.86,26037.4032,0,1000,0,0,1366x768,False,Intel,Core i5,2.5,Intel HD
HP,Notebook,15.6,8,Windows 10,2.1,46833.12,256,0,0,0,1920x1080,False,Intel,Core i5,1.6,Nvidia GeForce
Asus,Notebook,15.6,4,Linux,2.0,20725.92,0,1000,0,0,1920x1080,False,Intel,Core i3,2.0,Intel HD
Dell,Gaming,15.6,16,Windows 10,2.65,79866.72,256,1000,0,0,1920x1080,False,Intel,Core i7,2.8,Nvidia GeForce
Asus,Notebook,15.6,8,Linux,2.3,27864.9072,0,1000,0,0,1366x768,False,Intel,Core i5,2.5,Nvidia GeForce
Acer,Notebook,15.6,4,Windows 10,2.2,36336.96,256,0,0,0,1920x1080,False,Intel,Core i5,1.6,Intel UHD
Dell,2 in 1 Convertible,17.3,12,Windows 10,2.77,53226.72,0,1000,0,0,1920x1080,True,Intel,Core i5,1.6,Nvidia GeForce
Apple,Ultrabook,13.3,8,macOS,1.37,75604.32,256,0,0,0,2560x1600,False,Intel,Core i5,2.0,Intel Iris
Asus,Gaming,17.3,8,Windows 10,3.2,69210.72,256,1000,0,0,1920x1080,False,AMD,Ryzen,3.0,AMD Radeon
Dell,Notebook,15.6,4,Windows 10,2.3,34045.92,256,0,0,0,1920x1080,False,Intel,Core i5,2.5,AMD Radeon
Asus,Notebook,17.3,4,Windows 10,2.8,24828.48,0,1000,0,0,1366x768,False,Intel,Pentium Quad Core,1.1,Nvidia GeForce
Acer,Notebook,15.6,8,Windows 10,2.2,44808.48,256,0,0,0,1920x1080,False,Intel,Core i7,1.8,Nvidia GeForce
HP,Notebook,15.6,4,Windows 10,1.86,21231.5472,256,0,0,0,1920x1080,False,AMD,A-Series,2.5,AMD Radeon
HP,Notebook,13.3,8,Windows 10,1.49,58767.84,512,0,0,0,1920x1080,False,Intel,Core i7,1.8,Intel UHD
Acer,Notebook,15.6,4,Windows 10,2.4,20459.52,0,1000,0,0,1366x768,False,Intel,Core i3,2.4,Intel HD
Dell,Notebook,15.6,8,Windows 10,2.13,40908.384,256,0,0,0,1920x1080,False,Intel,Core i7,1.8,AMD Radeon
HP,Notebook,15.6,4,Windows 10,1.91,23389.92,128,0,0,0,1920x1080,False,Intel,Core i3,2.0,Intel HD
Asus,Notebook,15.6,4,Windows 10,2.0,31232.2032,256,0,0,0,1366x768,False,Intel,Core i5,2.5,Intel HD
MSI,Gaming,17.3,16,Windows 10,2.43,130482.72,256,2000,0,0,1920x1080,False,Intel,Core i7,2.8,Nvidia GeForce
Asus,Notebook,15.6,4,Linux,2.0,22111.2,256,0,0,0,1920x1080,False,Intel,Core i3,2.0,Intel HD
Dell,Notebook,17.3,16,Windows 10,2.8,69210.72,256,2000,0,0,1920x1080,False,Intel,Core i7,1.8,AMD Radeon
Dell,Ultrabook,14.0,8,Windows 10,1.7,46833.12,256,0,0,0,1920x1080,False,Intel,Core i5,1.6,Intel UHD
Lenovo,Notebook,14.0,8,No OS,1.7,31914.72,256,0,0,0,1920x1080,False,Intel,Core i3,2.7,Intel HD
Asus,Notebook,14.0,8,Windows 10,1.4,50136.48,256,0,0,0,1920x1080,False,Intel,Core i5,1.6,Intel UHD
HP,Notebook,15.6,8,Windows 10,1.86,36763.2,256,0,0,0,1920x1080,False,Intel,Core i5,2.5,Intel HD
Asus,Ultrabook,15.6,16,Windows 10,1.8,105654.24,512,0,0,0,1920x1080,False,Intel,Core i7,2.8,Nvidia GeForce
HP,Notebook,15.6,4,Windows 10,1.86,23373.4032,0,500,0,0,1366x768,False,Intel,Core i3,2.0,AMD Radeon
HP,Notebook,14.0,4,Windows 10,1.44,12201.12,32,0,0,0,1366x768,False,Intel,Celeron Dual Core,1.6,Intel HD
Lenovo,Notebook,15.6,4,Windows 10,1.9,29250.72,0,1000,0,0,1920x1080,False,Intel,Core i5,2.5,Intel HD
Asus,Gaming,17.3,12,Linux,3.0,50562.72,0,1000,0,0,1920x1080,False,Intel,Core i7,2.8,Nvidia GeForce
Microsoft,Ultrabook,13.5,4,Windows 10 S,1.252,58021.92,128,0,0,0,2256x1504,True,Intel,Core i5,2.5,Intel HD
Dell,Ultrabook,13.3,64,Windows 10,1.4,50882.4,256,0,0,0,1920x1080,False,Intel,Core i7,1.8,AMD Radeon
Dell,Notebook,15.6,8,Windows 10,2.2,46353.6,256,0,0,0,1920x1080,False,Intel,Core i7,1.8,AMD Radeon
MSI,Gaming,17.3,8,Windows 10,2.7,58341.6,128,1000,0,0,1920x1080,False,Intel,Core i5,2.5,Nvidia GeForce
Acer,Notebook,14.0,8,Windows 10,2.1,20725.92,0,1000,0,0,1366x768,False,Intel,Core i3,2.0,Intel HD
Asus,Gaming,15.6,8,Windows 10,2.2,50562.72,0,1000,0,0,1920x1080,False,Intel,Core i7,2.8,Nvidia GeForce
Lenovo,Notebook,15.6,8,No OS,2.2,27652.32,0,2000,0,0,1920x1080,False,Intel,Core i5,2.5,Intel HD
Dell,Notebook,15.6,8,Windows 10,2.02,45554.4,128,1000,0,0,1920x1080,False,Intel,Core i7,1.8,Intel UHD
Acer,Notebook,15.6,4,Windows 10,2.2,28238.4,0,1000,0,0,1920x1080,False,Intel,Core i3,2.7,Nvidia GeForce
HP,Notebook,17.3,8,Windows 10,2.5,52054.56,128,1000,0,0,1920x1080,False,Intel,Core i5,1.6,Nvidia GeForce
Dell,Ultrabook,15.6,8,Windows 10,1.88,58403.4048,256,0,0,0,1920x1080,False,Intel,Core i5,1.6,Intel UHD
Apple,Ultrabook,12.0,8,macOS,0.92,80452.8,512,0,0,0,2304x1440,False,Intel,Core i5,1.3,Intel HD
HP,Notebook,14.0,8,Windows 10,1.63,45820.8,256,0,0,0,1920x1080,False,Intel,Core i5,1.6,Intel HD
Lenovo,Notebook,15.6,4,Windows 10,2.2,21258.72,128,0,0,0,1920x1080,False,AMD,A-Series,2.5,AMD R4
Acer,Notebook,15.6,4,Windows 10,2.1,21045.6,0,1000,0,0,1366x768,False,AMD,A-Series,3.0,AMD Radeon
Dell,Gaming,15.6,16,Windows 10,2.65,71874.72,128,1000,0,0,1920x1080,False,Intel,Core i7,2.8,Nvidia GeForce
HP,Ultrabook,15.6,8,Windows 10,1.83,37242.72,256,0,0,0,1920x1080,False,Intel,Core i7,1.8,Nvidia GeForce
HP,Notebook,15.6,8,Windows 10,1.96,31914.1872,256,0,0,0,1920x1080,False,Intel,Core i5,2.5,Intel HD
Asus,Gaming,15.6,16,Windows 10,2.2,77202.72,128,1000,0,0,1920x1080,False,Intel,Core i7,2.8,Nvidia GeForce
Dell,Ultrabook,13.3,8,Windows 10,1.21,87858.72,256,0,0,0,1920x1080,False,Intel,Core i7,1.8,Intel UHD
Asus,Gaming,15.6,8,Windows 10,2.45,37242.72,0,1000,0,0,1920x1080,False,AMD,FX,3.0,AMD Radeon
Acer,Notebook,15.6,2,Windows 10,2.2,36709.92,0,1000,0,0,1920x1080,False,Intel,Core i7,1.8,Nvidia GeForce
HP,Notebook,13.3,16,Windows 10,1.49,63776.16,512,0,0,0,1920x1080,False,Intel,Core i7,1.8,Intel UHD
Dell,Gaming,15.6,8,Windows 10,2.65,63669.6,256,0,0,0,1920x1080,False,Intel,Core i5,2.5,Nvidia GeForce
Asus,Ultrabook,14.0,8,Windows 10,1.25,55890.72,256,0,0,0,1920x1080,False,Intel,Core i7,2.7,Intel HD
Acer,2 in 1 Convertible,13.3,8,Windows 10,1.5,45128.16,256,0,0,0,1920x1080,True,Intel,Core i5,1.6,Intel UHD
Dell,Notebook,15.6,8,Linux,2.2,31962.672,0,1000,0,0,1920x1080,False,Intel,Core i7,2.7,AMD Radeon
Dell,Notebook,15.6,4,Linux,2.2,25840.8,256,0,0,0,1920x1080,False,Intel,Core i3,2.0,AMD Radeon
Asus,Notebook,15.6,6,Windows 10,2.0,30742.56,256,0,0,0,1920x1080,False,Intel,Core i3,2.4,Nvidia GeForce
HP,Gaming,15.6,12,Windows 10,2.62,66546.72,128,1000,0,0,1920x1080,False,Intel,Core i7,2.8,Nvidia GeForce
HP,Notebook,15.6,8,Windows 10,1.91,38308.32,256,0,0,0,1920x1080,False,Intel,Core i7,2.7,AMD Radeon
HP,Notebook,15.6,4,Windows 10,2.1,18594.72,0,500,0,0,1920x1080,False,AMD,E-Series,1.5,AMD Radeon
Dell,Notebook,15.6,8,Linux,2.2,34472.16,0,1000,0,0,1920x1080,False,Intel,Core i5,1.6,AMD Radeon
HP,Ultrabook,13.3,8,Windows 10,1.38,59620.32,256,0,0,0,1920x1080,False,Intel,Core i7,2.7,Nvidia GeForce
Microsoft,Ultrabook,13.5,8,Windows 10 S,1.252,71395.2,256,0,0,0,2256x1504,True,Intel,Core i5,2.5,Intel HD
HP,Notebook,14.0,6,Windows 10,1.58,35111.52,256,0,0,0,1920x1080,False,Intel,Core i5,2.5,Nvidia GeForce
Lenovo,Notebook,15.6,4,Windows 10,1.85,22105.872,0,1000,0,0,1920x1080,False,Intel,Core i3,2.0,Intel HD
Asus,Ultrabook,14.0,8,Windows 10,1.3,63563.04,256,0,0,0,1920x1080,False,Intel,Core i7,2.7,Nvidia GeForce
MSI,Gaming,15.6,16,Windows 10,2.2,69210.72,256,1000,0,0,1920x1080,False,Intel,Core i7,2.8,Nvidia GeForce
Lenovo,Notebook,14.0,8,Windows 10,1.58,78854.4,256,0,0,0,1920x1080,False,Intel,Core i7,2.7,Intel HD
Asus,Ultrabook,15.6,16,Windows 10,1.5,67239.36,256,1000,0,0,1920x1080,False,Intel,Core i7,1.8,Nvidia GeForce
Dell,Ultrabook,13.3,8,Windows 10,1.23,73473.12,256,0,0,0,3200x1800,True,Intel,Core i7,2.4,Intel Iris
Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,74538.72,256,0,0,0,1920x1080,True,Intel,Core i5,2.5,Intel HD
HP,Notebook,14.0,4,Windows 10,1.63,38468.16,0,500,0,0,1366x768,False,Intel,Core i5,1.6,Intel UHD
Dell,Ultrabook,13.3,8,Windows 10,1.21,86793.12,256,0,0,0,1920x1080,False,Intel,Core i5,1.6,Intel UHD
HP,Notebook,14.0,8,Windows 10,1.63,57755.52,512,0,0,0,1920x1080,False,Intel,Core i7,1.8,Intel UHD
Dell,Notebook,15.6,8,Windows 10,2.16,60223.9824,256,1000,0,0,1920x1080,False,Intel,Core i7,1.8,Nvidia GeForce
Asus,Notebook,17.3,4,Windows 10,2.0,30049.92,0,1000,0,0,1920x1080,False,Intel,Core i3,2.0,Nvidia GeForce
Asus,Notebook,15.6,8,Windows 10,1.7,59567.04,256,0,0,0,1920x1080,False,Intel,Core i7,1.8,Nvidia GeForce
Acer,Notebook,15.6,6,Windows 10,2.1,25521.12,0,1000,0,0,1920x1080,True,Intel,Core i3,2.4,Intel HD
MSI,Gaming,15.6,16,Windows 10,1.8,119427.12,256,2000,0,0,1920x1080,False,Intel,Core i7,2.8,Nvidia GeForce
Lenovo,Notebook,15.6,8,No OS,2.2,33513.12,256,0,0,0,1920x1080,False,Intel,Core i5,2.5,Nvidia GeForce
HP,Notebook,17.3,16,Windows 10,2.5,67718.88,512,0,0,0,1920x1080,False,Intel,Core i7,1.8,Nvidia GeForce
Acer,Notebook,15.6,4,Windows 10,2.1,24029.28,256,0,0,0,1366x768,False,AMD,A-Series,3.0,AMD Radeon
HP,Notebook,14.0,8,Windows 10,1.63,43263.36,0,1000,0,0,1920x1080,False,Intel,Core i5,1.6,Intel UHD
Asus,Notebook,14.0,4,Windows 10 S,1.65,14811.3072,64,0,0,0,1366x768,False,AMD,E-Series,1.5,AMD Radeon
Dell,Notebook,17.3,16,Windows 10,2.8,74378.88,256,2000,0,0,1920x1080,False,Intel,Core i7,1.8,AMD Radeon
HP,Notebook,17.3,8,Windows 10,2.5,49443.84,256,0,0,0,1920x1080,False,Intel,Core i5,1.6,Intel UHD
Dell,Notebook,15.6,8,Windows 10,2.36,34045.3872,0,1000,0,0,1366x768,False,Intel,Core i5,2.5,AMD Radeon
Dell,Notebook,15.6,4,Windows 10,2.2,23922.72,0,1000,0,0,1920x1080,False,Intel,Core i3,2.0,AMD Radeon
Acer,Ultrabook,14.0,8,Windows 10,1.6,47099.52,256,0,0,0,1920x1080,False,Intel,Core i7,1.8,Intel UHD
Acer,Notebook,15.6,4,Windows 10,7.2,30476.16,256,0,0,0,1920x1080,False,Intel,Core i3,2.7,Nvidia GeForce
HP,Notebook,15.6,8,Windows 10,2.05,31861.44,0,1000,0,0,1366x768,False,Intel,Core i7,2.7,Intel HD
HP,Notebook,14.0,8,Windows 10,1.63,52640.64,256,0,0,0,1920x1080,False,Intel,Core i7,1.8,Intel UHD
Lenovo,Notebook,15.6,4,No OS,1.9,13445.7408,0,1000,0,0,1366x768,False,Intel,Celeron Dual Core,1.1,Intel HD
Asus,Gaming,17.3,8,Windows 10,3.0,49976.64,128,1000,0,0,1920x1080,False,Intel,Core i5,2.5,Nvidia GeForce
Lenovo,Notebook,15.6,4,No OS,2.2,26586.72,0,1000,0,0,1920x1080,False,Intel,Core i5,2.5,Nvidia GeForce
HP,Notebook,13.3,4,Windows 10,1.32,37242.72,256,0,0,0,1920x1080,False,Intel,Core i5,2.5,Intel HD
Acer,Notebook,17.3,4,Windows 10,3.0,34898.4,0,1000,0,0,1920x1080,False,Intel,Core i3,2.7,Nvidia GeForce
Lenovo,Notebook,14.0,8,Windows 10,1.75,59461.5456,256,0,0,0,1920x1080,False,Intel,Core i5,1.6,AMD Radeon
Lenovo,Gaming,15.6,8,No OS,2.4,46300.32,256,0,0,0,1920x1080,False,Intel,Core i7,2.8,Nvidia GeForce
Toshiba,Notebook,15.6,4,Windows 10,2.1,32074.56,0,500,0,0,1366x768,False,Intel,Core i5,2.3,Intel HD
HP,Notebook,15.6,4,Windows 10,1.86,19660.32,256,0,0,0,1366x768,False,AMD,A-Series,2.5,AMD Radeon
Asus,Ultrabook,14.0,8,Windows 10,1.25,58554.72,256,0,0,0,1920x1080,False,Intel,Core i7,1.8,Intel UHD
HP,Ultrabook,12.5,8,Windows 10,0.97,107305.92,512,0,0,0,3840x2160,True,Intel,Core M,1.2,Intel HD
Asus,Notebook,15.6,4,Windows 10,2.0,18328.32,0,1000,0,0,1920x1080,False,Intel,Celeron Dual Core,1.1,Intel HD
Acer,Notebook,15.6,4,Windows 10,2.1,23816.16,0,1000,0,0,1366x768,False,Intel,Core i3,2.0,Intel HD
Dell,Gaming,15.6,16,Windows 10,2.56,66560.5728,512,0,0,0,1920x1080,False,Intel,Core i7,2.8,Nvidia GeForce
Dell,Gaming,15.6,8,Windows 10,2.62,47898.72,0,0,1000,0,1920x1080,False,Intel,Core i7,2.8,Nvidia GeForce
Lenovo,Notebook,15.6,4,Windows 10,1.9,26533.44,128,0,0,0,1366x768,False,Intel,Core i5,2.5,Intel HD
MSI,Gaming,17.3,16,Windows 10,2.8,100699.2,256,1000,0,0,1920x1080,False,Intel,Core i7,2.8,Nvidia GeForce
HP,Ultrabook,14.0,4,Windows 10,1.48,57648.96,256,0,0,0,1920x1080,False,Intel,Core i5,2.7,Intel HD
HP,Notebook,15.6,6,Windows 10,1.91,32980.32,256,0,0,0,1920x1080,False,Intel,Core i5,1.6,AMD Radeon
Lenovo,2 in 1 Convertible,14.0,4,Windows 10,1.74,33513.12,256,0,0,0,1920x1080,True,Intel,Core i3,2.4,Intel HD
Asus,2 in 1 Convertible,13.3,8,Windows 10,1.1,70063.2,256,0,0,0,1920x1080,True,Intel,Core i5,1.6,Intel HD
Dell,2 in 1 Convertible,15.6,8,Windows 10,1.56,55890.72,256,0,0,0,1920x1080,True,Intel,Core i7,1.8,Intel UHD
Toshiba,Notebook,15.6,4,Windows 10,2.1,23816.16,0,500,0,0,1366x768,False,Intel,Core i3,2.2,Intel HD
Asus,Notebook,15.6,4,Windows 10,2.03,21471.84,0,1000,0,0,1366x768,False,AMD,A-Series,3.0,AMD Radeon
Acer,Notebook,17.3,4,Windows 10,3.0,42890.4,256,0,0,0,1920x1080,False,Intel,Core i5,1.6,Nvidia GeForce
Dell,Notebook,15.6,8,Windows 10,2.13,38787.84,256,0,0,0,1920x1080,False,Intel,Core i5,1.6,AMD Radeon
Lenovo,Gaming,15.6,16,Windows 10,2.5,57489.12,256,0,0,0,1920x1080,False,Intel,Core i7,2.8,Nvidia GeForce
Acer,Notebook,15.6,4,Windows 10,2.1,18541.44,0,1000,0,0,1366x768,False,Intel,Celeron Dual Core,1.1,Intel HD
MSI,Gaming,15.6,16,Windows 10,2.4,95850.72,256,1000,0,0,1920x1080,False,Intel,Core i7,2.8,Nvidia GeForce
Acer,Notebook,15.6,4,Windows 10,2.1,19367.8128,0,1000,0,0,1366x768,False,Intel,Pentium Quad Core,1.1,Intel HD
Dell,Gaming,15.6,8,Windows 10,2.56,56502.9072,128,1000,0,0,1920x1080,False,Intel,Core i7,2.8,Nvidia GeForce
Acer,Notebook,17.3,8,Windows 10,3.0,45501.12,256,0,0,0,1920x1080,False,Intel,Core i5,1.6,Nvidia GeForce
HP,Notebook,13.3,4,Windows 10,1.49,40173.12,0,500,0,0,1920x1080,False,Intel,Core i5,1.6,Intel UHD
Huawei,Ultrabook,13.0,8,Windows 10,1.05,71874.72,256,0,0,0,2160x1440,False,Intel,Core i5,2.5,Intel HD
HP,Notebook,17.3,6,Windows 10,2.71,37242.72,0,2000,0,0,1920x1080,False,Intel,Core i5,2.5,AMD Radeon
Lenovo,Notebook,15.6,4,No OS,2.2,16463.52,0,500,0,0,1366x768,False,AMD,A-Series,2.9,AMD Radeon
Toshiba,Notebook,15.6,4,Windows 10,5.4,26053.92,0,500,0,0,1366x768,False,Intel,Core i3,2.4,Intel HD
HP,Notebook,17.3,8,Windows 10,2.5,49177.44,256,0,0,0,1920x1080,False,Intel,Core i5,1.6,Nvidia GeForce
Dell,Notebook,15.6,8,Windows 10,2.3,24455.52,0,1000,0,0,1366x768,False,Intel,Core i3,2.4,Intel HD
Acer,Notebook,15.6,4,Windows 10,2.1,23922.72,128,0,0,0,1366x768,False,Intel,Core i3,2.0,Intel HD
MSI,Gaming,18.4,32,Windows 10,4.4,149130.72,512,1000,0,0,1920x1080,False,Intel,Core i7,2.9,Nvidia GTX
Lenovo,Notebook,15.6,8,Windows 10,1.9,43316.64,128,1000,0,0,1920x1080,False,Intel,Core i5,2.5,AMD R17M-M1-70
HP,2 in 1 Convertible,13.3,8,Windows 10,1.29,79866.72,256,0,0,0,3840x2160,True,Intel,Core i5,1.6,Intel UHD
Dell,Notebook,15.6,16,Linux,2.02,55890.72,256,2000,0,0,1920x1080,False,Intel,Core i7,1.8,AMD Radeon
Dell,Ultrabook,13.3,8,Windows 10,1.23,74538.72,256,0,0,0,1920x1080,False,Intel,Core i5,1.6,Intel UHD
Lenovo,2 in 1 Convertible,13.9,16,Windows 10,1.4,98514.72,512,0,0,0,3840x2160,True,Intel,Core i7,1.8,Intel UHD
Toshiba,Notebook,15.6,8,Windows 10,2.0,42251.04,128,0,0,0,1366x768,False,Intel,Core i5,2.5,Intel HD
Xiaomi,Notebook,15.6,8,No OS,1.95,63882.72,256,0,0,0,1920x1080,False,Intel,Core i5,1.6,Nvidia GeForce
Dell,Notebook,17.3,16,Windows 10,2.77,82530.72,512,0,0,0,1920x1080,True,Intel,Core i7,1.8,Nvidia GeForce
Dell,Notebook,15.6,16,Windows 10,2.06,127712.16,512,0,0,0,3840x2160,True,Intel,Core i7,2.8,Nvidia GeForce
Lenovo,Gaming,15.6,8,No OS,2.4,41505.12,256,0,0,0,1920x1080,False,Intel,Core i5,2.5,Nvidia GeForce
Acer,Ultrabook,13.3,8,Windows 10,1.12,52693.92,256,0,0,0,1920x1080,False,Intel,Core i5,1.2,Intel HD
Dell,Notebook,17.3,8,Windows 10,2.8,57808.8,128,1000,0,0,1920x1080,False,Intel,Core i7,1.8,AMD Radeon
Vero,Notebook,14.0,4,Windows 10,1.3,13852.8,0,0,0,32,1920x1080,False,Intel,Celeron Dual Core,1.1,Intel HD
Xiaomi,Ultrabook,13.3,8,No OS,1.3,53274.672,256,0,0,0,1920x1080,False,Intel,Core i5,2.5,Nvidia GeForce
Lenovo,Notebook,17.3,8,No OS,2.8,37189.44,256,0,0,0,1600x900,False,Intel,Core i5,1.6,Nvidia GeForce
Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,44701.92,0,1000,0,0,1920x1080,True,Intel,Core i7,1.8,Intel UHD
HP,Notebook,17.3,8,Windows 10,2.5,48697.92,0,1000,0,0,1920x1080,False,Intel,Core i5,1.6,Nvidia GeForce
Razer,Gaming,17.3,32,Windows 10,3.49,324954.72,1000,0,0,0,3840x2160,True,Intel,Core i7,2.9,Nvidia GeForce
HP,Notebook,13.3,8,Windows 10,1.49,51095.52,512,0,0,0,1920x1080,False,Intel,Core i5,1.6,Intel UHD
HP,Gaming,17.3,16,Windows 10,3.35,73473.12,256,1000,0,0,1920x1080,False,Intel,Core i7,2.8,Nvidia GeForce
HP,Notebook,17.3,8,Windows 10,2.5,55677.6,256,0,0,0,1920x1080,False,Intel,Core i7,1.8,Nvidia GeForce
Dell,Gaming,15.6,16,Windows 10,2.65,98301.6,512,1000,0,0,3840x2160,False,Intel,Core i7,2.8,Nvidia GeForce
Lenovo,Notebook,15.6,4,Windows 10,2.1,26267.04,128,0,0,0,1366x768,False,Intel,Core i5,2.3,Intel HD
Acer,Notebook,15.6,8,Windows 10,2.23,39533.76,0,1000,0,0,1920x1080,False,Intel,Core i7,2.7,Nvidia GeForce
Lenovo,Gaming,15.6,16,Windows 10,3.2,93186.72,512,1000,0,0,1920x1080,False,Intel,Core i7,2.8,Nvidia GeForce
Dell,Workstation,15.6,16,Windows 10,2.8,162770.4,256,1000,0,0,3840x2160,False,Intel,Xeon,3.0,Nvidia Quadro
Lenovo,Gaming,15.6,16,No OS,2.4,74485.44,512,0,0,0,1920x1080,False,Intel,Core i7,2.8,Nvidia GeForce
Dell,Notebook,15.6,6,Windows 10,2.3,23389.92,0,1000,0,0,1366x768,True,Intel,Core i3,2.4,Intel HD
Dell,Ultrabook,13.3,8,Windows 10,1.21,103842.72,256,0,0,0,3840x2160,True,Intel,Core i7,1.8,Intel UHD
Dell,Ultrabook,13.3,8,Windows 10,2.04,77202.72,256,0,0,0,1920x1080,False,Intel,Core i7,1.8,Intel UHD
Acer,Notebook,15.6,8,Linux,2.4,41505.12,0,1000,0,0,1920x1080,False,Intel,Core i7,2.8,Nvidia GeForce
